Artist,Label
Guns N' Roses,Universal
Cory Gunz,Universal
GZA,Universal
Haddaway,Universal
Halsey,Universal
Charles Hamilton,Universal
Jan Hammer,Universal
Jay Hardway,Universal
George Harrison,Universal
Debbie Harry,Universal
Yū Hayami,Universal
Asuca Hayashi,Universal
Megumi Hayashibara,Universal
Isaac Hayes,Universal
Joe Hisaishi,Universal
Heart,Universal
Hedley,Universal
Hellogoodbye,Universal
Hide,Universal
Keri Hilson,Universal
HIM,Universal
Hinder,Universal
Aya Hirano,Universal
Amy Holland,Universal
Eddie Holland,Universal
Buddy Holly,Universal
Hollywood Monsters,Universal
Hollywood Undead,Universal
Rupert Holmes,Universal
Minako Honda,Universal
Bai Hong,Universal
Hoobastank,Universal
Ace Hood,Universal
Mallary Hope,Universal
Hot Rod,Universal
Hot Chelle Rae,Universal
Tomoyasu Hotei,Universal
Hozier,Universal
Mr Hudson,Universal
The Human League,Universal
Hyper Crush,Universal
Kim Hyun-joong,Universal
I Blame Coco,Universal
I Mother Earth,Universal
I Prevail,Universal
Il Volo,Universal
Ice Nine Kills,Universal
Icehouse,Universal
Ida Maria,Universal
Ikke Nurjanah,Universal
Enrique Iglesias,Universal
Ilegales,Universal
Ilya,Universal
Imagine Dragons,Universal
Miki Imai,Universal
IMx,Universal
In Dread Response,Universal
Inna,Universal
Incubus,Universal
Infected Mushroom,Universal
Inner Circle,Universal
Infinite,Universal
Institute,Universal
Iron Maiden,Universal
Ironik,Universal
Tajja Isen,Universal
IU,Universal
IVE,Universal
IZ*ONE,Universal
Iza,Universal
Michael Jackson,Universal
The Jackson 5,Universal
Jacquees,Universal
Jada,Universal
Jadakiss,Universal
Jadyn Maria,Universal
Jay-Z,Universal
Ja Rule,Universal
Jean-Michel Jarre,Universal
Wyclef Jean,Universal
Jedward,Universal
Jeezy,Universal
Carly Rae Jepsen,Universal
Jeremih,Universal
Jack Jersey,Universal
Gloria Jessica,Universal
Jessie J,Universal
Jessie James,Universal
Elton John,Universal
Dwayne Johnson,Universal
Jack Johnson,Universal
Marv Johnson,Universal
Michael Johnson,Universal
Jonas Brothers,Universal
Joe Jonas,Universal
Tyler Joseph,Universal
Jovanotti,Universal
Juanes,Universal
Juice WRLD,Universal
Patrick Juvet,Universal
Kadim Al Sahir,Universal
Kuana Torres Kahele,Universal
Israel Kamakawiwoʻole,Universal
Karkadan,Universal
Katrina and the Waves,Universal
Crystal Kay,Universal
Kelis,Universal
Claude Kelly,Universal
Tori Kelly,Universal
DJ Khaled,Universal
Wiz Khalifa,Universal
Kid Abelha,Universal
Kid Cudi,Universal
Kidz Bop Kids,Universal
The Killers,Universal
Natalia Kills,Universal
Lil' Kim,Universal
Kiss,Universal
K.I.Z,Universal
The Knife,Universal
Kristian Kostov,Universal
Kaori Kozai,Universal
KR$NA,Universal
Alison Krauss,Universal
George Lam,Universal
Gin Lee,Universal
La Roux,Universal
Juan Karlos Labajo,Universal
Lady A,Universal
Ladyhawke,Universal
Natalia Lafourcade,Universal
Sandy Lam,Universal
Kendrick Lamar,Universal
Kep1er,Universal
La Materialista,Universal
Elettra Lamborghini,Universal
Bishop Lamont,Universal
Yves Larock,Universal
Latifa,Universal
Latino,Universal
Lawson,Universal
Lebo M.,Universal
Swae Lee,Universal
John Lennon,Universal
Fish Leong,Universal
Nolwenn Leroy,Universal
Donna Lewis,Universal
Prudence Liew,Universal
Lifer,Universal
Lights,Universal
Lil Ru,Universal
Lim Hyung Joo,Universal
Limp Bizkit,Universal
Little River Band,Universal
Cher Lloyd,Universal
LMFAO,Universal
Tove Lo,Universal
Lobão,Universal
Lobo,Universal
Logic,Universal
The Lonely Island,Universal
Jennifer Lopez,Universal
Pablo Lopez,Universal
T Lopez,Universal
Lorde,Universal
Loona,Universal
Pixie Lott,Universal
Demi Lovato,Universal
Lucenzo,Universal
Ludo,Universal
Ludacris,Universal
The Lumineers,Universal
Luna Sea,Universal
Ross Lynch,Universal
Lyodra Ginting,Universal
Mabel,Universal
Seth MacFarlane,Universal
Mary MacGregor,Universal
Mack 10,Universal
Madonna,Universal
Kaitlyn Maher,Universal
Mahmood,Universal
Mack Maine,Universal
The Maine,Universal
Majid Al Mohandis,Universal
Yngwie Malmsteen,Universal
Glasses Malone,Universal
Post Malone,Universal
Marilyn Manson,Universal
Mamonas Assassinas,Universal
Mandisa,Universal
Mannie Fresh,Universal
Marcelo D2,Universal
Marcus & Martinus,Universal
Marky,Universal
Maria Isabel,Universal
Bob Marley,Universal
Maroon 5,Universal
Marracash,Universal
Marshmello,Universal
Jessica Mauboy,Universal
Dean Martin,Universal
The Marvelettes,Universal
Richard Marx,Universal
Massacration,Universal
Masta Killa,Universal
Takako Matsu,Universal
Seiko Matsuda,Universal
Yumi Matsutoya,Universal
Yasuko Matsuyuki,Universal
John Mayer,Universal
Paul McCartney,Universal
JD McCrary,Universal
Reba McEntire,Universal
Maureen McGovern,Universal
Tim McGraw,Universal
Kevin McHale,Universal
Bobby McFerrin,Universal
Katharine McPhee,Universal
Meat Loaf,Universal
Megadeth,Universal
Shawn Mendes,Universal
Roi Méndez,Universal
Bridgit Mendler,Universal
Idina Menzel,Universal
Daniel Merriweather,Universal
Metallica,Universal
Metal Church,Universal
Method Man,Universal
Lena Meyer-Landrut,Universal
MIA,Universal
Michael Learns to Rock,Universal
Julia Michaels,Universal
Chrisette Michelle,Universal
Migos,Universal
Miguel,Universal
Mihimaru GT,Universal
Mika,Universal
Christina Milian,Universal
Jae Millz,Universal
Nicki Minaj,Universal
Lin-Manuel Miranda,Universal
Miyavi,Universal
Mishlawi,Universal
Miss A,Universal
Mohamed Hamaki,Universal
Karen Mok,Universal
Zascha Moktan,Universal
Momoland,Universal
Moneybagg Yo,Universal
Monsta X,Universal
Monster Magnet,Universal
French Montana,Universal
Giorgio Moroder,Universal
James Morrison,Universal
Ryoko Moriyama,Universal
Lil Mosey,Universal
Mohamed Mounir,Universal
Ana Moura,Universal
George Michael,Universal
Nana Mouskouri,Universal
Mumford & Sons,Universal
Anne Murray,Universal
Muse,Universal
Kacey Musgraves,Universal
Mushroomhead,Universal
Mýa,Universal
Billie Myers,Universal
David Nail,Universal
