Artist,Label
Le Click,Sony
Lea Michele,Sony
Lea Salonga,Sony
Lecrae,Sony
Lee DeWyze,Sony
Leif Garrett,Sony
Len,Sony
Lenka,Sony
Leo Jaime,Sony
Len Carlson,Sony
Leona Lewis,Sony
Leonard Bernstein,Sony
Leonard Cohen,Sony
Less Than Jake,Sony
Leslie Grace,Sony
Lil' Flip,Sony
Lil Nas X,Sony
Lin Yu Chun,Sony
Linda Ronstadt,Sony
Lion,Sony
Lisa Lougheed,Sony
Lit,Sony
Litfiba,Sony
Little Trees,Sony
Little Sea,Sony
Lim Hyung Joo,Sony
Limão Com Mel,Sony
Lira,Sony
Locnville,Sony
Loïc Nottet,Sony
Lodovica Comello,Sony
London Symphony Orchestra,Sony
Lordi,Sony
Los Angeles Philharmonic,Sony
Los del Río,Sony
Louise Carver,Sony
Loverboy,Sony
Lovi Poe,Sony
Lil Loaded,Sony
LSD,Sony
Lucy Spraggan,Sony
Ludovico Einaudi,Sony
Luiz Gonzaga,Sony
Luke,Sony
Luke Mejares,Sony
Lulu Antariksa,Sony
Lulu Santos,Sony
Lyfe Jennings,Sony
Loick Essien,Sony
Little Mix,Sony
Little Nikki,Sony
M.O.P.,Sony
Mad Kap,Sony
Mafia Honey,Sony
Maja Salvador,Sony
Mamoru Miyano,Sony
Manga,Sony
Mango,Sony
Maher Zain,Sony
Maja Salvador,Sony
Malú,Sony
Madeon,Sony
Mandy Moore,Sony
Maria Lawson,Sony
Mariah Carey,Sony
Mariana Rios,Sony
Momoland,Sony
Mary Byrne,Sony
Marc Anthony,Sony
Marc Mysterio,Sony
Marco Mengoni,Sony
Marcus & Martinus,Sony
Maren Morris,Sony
Mark Ronson,Sony
Mark Vincent,Sony
Marlisa Punzalan,Sony
Martin Garrix,Sony
Matt Cardle,Sony
Matt Stone,Sony
Maurice Jarre,Sony
Max Schneider,Sony
Mayré Martínez,Sony
Meat Loaf,Sony
Meghan Trainor,Sony
Melissa Benoist,Sony
Melissa Manchester,Sony
Metro Boomin,Sony
Mew,Sony
MGMT,Sony
Michael Bolton,Sony
Michael Damian,Sony
Michael Jackson,Sony
Michael Learns To Rock,Sony
Michael Magee,Sony
Michael Kiessou,Sony
Michael Speaks,Sony
Michelle Williams,Sony
Midnight Oil,Sony
Miguel,Sony
Mike and the Mechanics,Sony
Mika Nakashima,Sony
Mikha Tambayong,Sony
Mikky Ekko,Sony
Miley Cyrus,Sony
Milton Nascimento,Sony
Miniature Tigers,Sony
Mira Awad,Sony
Miracle,Sony
Miranda Cosgrove,Sony
Misha B,Sony
Mobb Deep,Sony
Money Boy,Sony
Monica,Sony
Mónica Naranjo,Sony
The Monkees,Sony
Montaigne,Sony
Molly Sandén,Sony
Morteza Pashaei,Sony
Mother's Finest,Sony
Mountain,Sony
Myrtle Sarrosa,Sony
Mytha Lestari,Sony
Modern Talking,Sony
N Sync,Sony
Nas,Sony
Nat & Alex Wolff,Sony
Natalia Lafourcade,Sony
Natalie Bassingthwaite,Sony
Natalie Imbruglia,Sony
Natasha Bedingfield,Sony
Natassa Theodoridou,Sony
Nathalie Makoma,Sony
Nathaniel Willemse,Sony
National Philharmonic Orchestra,Sony
Nayer,Sony
Neha Kakkar,Sony
Nena,Sony
Neon Jungle,Sony
Netsky,Sony
Newton Faulkner,Sony
New Kids On The Block,Sony
Ne-yo,Sony
Niall Horan,Sony
Nicholas McDonald,Sony
Nick Carter,Sony
Nickelback,Sony
Nicki Minaj,Sony
Nicky Jam,Sony
Nicole Scherzinger,Sony
Nicolette Larson,Sony
Nindy Ayunda,Sony
Nikki Kerkhof,Sony
Nikki Clan,Sony
Nikki Ponte,Sony
Nil Karaibrahimgil,Sony
Nneka,Sony
No Good,Sony
Noemi,Sony
The Northern Pikes,Sony
The Notorious B.I.G.,Sony
The Nylons,Sony
Oasis,Sony
